model_id,architecture,batch_size,learning_rate,max_epochs,use_initial_bias,use_label_smoothing,use_weighted_loss,epochs_trained,train_loss,train_tp,train_fp,train_tn,train_fn,train_accuracy,train_precision,train_recall,train_auc,train_prc,val_loss,val_tp,val_fp,val_tn,val_fn,val_accuracy,val_precision,val_recall,val_auc,val_prc
64,"[16, 32, 64, 32, 16]",512,0.001,50,False,False,False,24,0.007150838151574135,1271.0,261.0,597038.0,1430.0,0.9971816539764404,0.8296344876289368,0.47056645154953003,0.9902824759483337,0.7397604584693909,0.00747448718175292,485.0,113.0,198941.0,461.0,0.9971299767494202,0.8110367655754089,0.5126850008964539,0.9870657920837402,0.7392603754997253
65,"[16, 32, 64, 32, 16]",512,0.001,100,False,False,False,44,0.006762976758182049,1682.0,503.0,596796.0,1019.0,0.9974633455276489,0.7697940468788147,0.6227323412895203,0.9944338798522949,0.7597953081130981,0.007215417455881834,611.0,221.0,198833.0,335.0,0.997219979763031,0.734375,0.6458773612976074,0.9913700819015503,0.7606110572814941
66,"[16, 32, 64, 32, 16]",512,1e-05,30,False,False,False,30,0.008644413203001022,1147.0,330.0,596969.0,1554.0,0.9968600273132324,0.7765741348266602,0.42465752363204956,0.9889200925827026,0.6627521514892578,0.009211374446749687,418.0,134.0,198920.0,528.0,0.9966899752616882,0.7572463750839233,0.44186046719551086,0.9868071675300598,0.6589081287384033
67,"[16, 32, 64, 32, 16]",512,1e-05,50,False,False,False,50,0.00835428573191166,1340.0,397.0,596902.0,1361.0,0.9970700144767761,0.7714450359344482,0.49611255526542664,0.9873544573783875,0.6717846393585205,0.008923732675611973,482.0,162.0,198892.0,464.0,0.9968699812889099,0.7484471797943115,0.5095137357711792,0.9848572015762329,0.6621586680412292
68,"[16, 32, 64, 32, 16]",512,1e-05,100,False,False,False,100,0.008662712760269642,1412.0,423.0,596876.0,1289.0,0.9971466660499573,0.7694823145866394,0.5227693319320679,0.979417622089386,0.6692200899124146,0.009133024141192436,511.0,158.0,198896.0,435.0,0.997035026550293,0.7638266086578369,0.5401691198348999,0.9791957139968872,0.6702542304992676
69,"[16, 32, 64, 32, 16]",512,1e-07,30,False,False,False,14,0.19251610338687897,0.0,0.0,597299.0,2701.0,0.9954983592033386,0.0,0.0,0.2663526237010956,0.0029483549296855927,0.19289074838161469,0.0,0.0,199054.0,946.0,0.9952700138092041,0.0,0.0,0.26855918765068054,0.0030992291867733
70,"[16, 32, 64, 32, 16]",512,1e-07,50,False,False,False,12,0.2039327323436737,0.0,0.0,597299.0,2701.0,0.9954983592033386,0.0,0.0,0.27081674337387085,0.0028491555713117123,0.20428378880023956,0.0,0.0,199054.0,946.0,0.9952700138092041,0.0,0.0,0.2706619203090668,0.0029936018399894238
71,"[16, 32, 64, 32, 16]",512,1e-07,100,False,False,False,14,0.3552755117416382,0.0,0.0,597299.0,2701.0,0.9954983592033386,0.0,0.0,0.2706824243068695,0.0028787562623620033,0.3554532825946808,0.0,0.0,199054.0,946.0,0.9952700138092041,0.0,0.0,0.2807510495185852,0.0030560512095689774
72,"[16, 32, 64, 32, 16]",2048,0.001,30,False,False,False,30,0.007337665185332298,1090.0,194.0,597105.0,1611.0,0.9969916939735413,0.8489096760749817,0.403554230928421,0.9898465871810913,0.7448247671127319,0.007559687364846468,428.0,81.0,198973.0,518.0,0.9970049858093262,0.8408644199371338,0.4524312913417816,0.9871998429298401,0.7400239706039429
73,"[16, 32, 64, 32, 16]",2048,0.001,50,False,False,False,42,0.007388063240796328,2013.0,1013.0,596286.0,688.0,0.9971650242805481,0.6652346253395081,0.7452795505523682,0.9932542443275452,0.7535253763198853,0.007917082868516445,725.0,381.0,198673.0,221.0,0.9969900250434875,0.6555153727531433,0.7663847804069519,0.9917874336242676,0.7495466470718384
74,"[16, 32, 64, 32, 16]",2048,0.001,100,False,False,False,45,0.007065182086080313,1302.0,253.0,597046.0,1399.0,0.9972466826438904,0.8372990489006042,0.48204368352890015,0.9911438226699829,0.7539605498313904,0.007340618874877691,490.0,112.0,198942.0,456.0,0.997160017490387,0.8139534592628479,0.5179703831672668,0.9882397055625916,0.7462786436080933
75,"[16, 32, 64, 32, 16]",2048,1e-05,30,False,False,False,16,0.4925997853279114,0.0,103714.0,493585.0,2701.0,0.8226416707038879,0.0,0.0,0.46641620993614197,0.003961391281336546,0.492247998714447,0.0,34361.0,164693.0,946.0,0.8234649896621704,0.0,0.0,0.47377628087997437,0.004210628569126129
76,"[16, 32, 64, 32, 16]",2048,1e-05,50,False,False,False,16,1.1254820823669434,2685.0,568527.0,28772.0,16.0,0.05242833495140076,0.004700531717389822,0.9940762519836426,0.25954684615135193,0.0029160454869270325,1.1253437995910645,940.0,189408.0,9646.0,6.0,0.05293000116944313,0.004938323516398668,0.9936575293540955,0.2669883072376251,0.0030864861328154802
77,"[16, 32, 64, 32, 16]",2048,1e-05,100,False,False,False,11,0.34477540850639343,0.0,0.0,597299.0,2701.0,0.9954983592033386,0.0,0.0,0.9243077039718628,0.028955042362213135,0.3449987769126892,0.0,0.0,199054.0,946.0,0.9952700138092041,0.0,0.0,0.9184068441390991,0.028649605810642242
